part,event,ID,mother,daughter1,daughter2,Px,Py,Pz,E,X,Y,Z,T,i1,i2,i3
1,0,300553,-1,1,2,0.176,0,4.4988,11.5028,0.3619,0.0787,-1.3131,-0.2107,55,0,1
2,1,521,0,3,4,0.4054,-0.1093,2.4376,5.8299,0.3619,0.0787,-1.3131,-0.2107,55,0,1
3,2,-521,0,9,12,-0.2294,0.1093,2.0612,5.6729,0.3619,0.0787,-1.3131,-0.2107,55,0,1
4,3,333,1,5,6,2.0084,-1.4483,1.7238,3.1843,0.406,0.0668,-1.0481,0.4233,55,0,1
5,4,10321,1,7,8,-1.603,1.339,0.7138,2.6456,0.406,0.0668,-1.0481,0.4233,55,0,1
6,5,321,3,32,34,1.2486,-0.9178,1.0902,1.958,0.406,0.0668,-1.0481,0.4233,55,0,1
7,6,-321,3,35,37,0.7598,-0.5305,0.6336,1.2263,0.406,0.0668,-1.0481,0.4233,55,0,1
8,7,310,4,38,39,-1.6694,0.7277,0.3581,1.9216,0.406,0.0668,-1.0481,0.4233,55,0,1
9,8,211,4,40,43,0.0664,0.6113,0.3558,0.724,0.406,0.0668,-1.0481,0.4233,55,0,1
10,9,421,2,13,16,0.0409,-0.1006,1.3949,2.3313,0.3306,0.0936,-1.0315,0.5644,55,0,1
11,10,-411,2,19,22,-0.3119,0.3371,0.3935,1.965,0.3306,0.0936,-1.0315,0.5644,55,0,1
12,11,-311,2,29,29,-0.0436,-0.278,0.2599,0.628,0.3306,0.0936,-1.0315,0.5644,55,0,1
13,12,113,2,30,31,0.0852,0.1508,0.0129,0.7486,0.3306,0.0936,-1.0315,0.5644,55,0,1
14,13,-311,9,17,17,0.1086,-0.1538,0.8142,0.9726,0.3309,0.093,-1.0224,0.5797,55,0,1
15,14,311,9,18,18,-0.1244,0.3451,0.0378,0.6194,0.3309,0.093,-1.0224,0.5797,55,0,1
16,15,211,9,44,44,-0.0053,-0.1188,0.0424,0.1882,0.3309,0.093,-1.0224,0.5797,55,0,1
17,16,-211,9,-1,-1,0.0619,-0.173,0.5005,0.5511,0.3309,0.093,-1.0224,0.5797,55,0,1
18,17,130,13,45,46,0.1086,-0.1538,0.8142,0.9726,0.3309,0.093,-1.0224,0.5797,55,0,1
19,18,130,14,47,50,-0.1244,0.3451,0.0378,0.6194,0.3309,0.093,-1.0224,0.5797,55,0,1
20,19,10313,10,23,24,-0.5595,0.1892,0.3726,1.3791,0.2056,0.2287,-0.8738,1.3519,55,0,1
21,20,11,10,51,51,0.2178,0.1531,-0.1826,0.3228,0.2056,0.2287,-0.8738,1.3519,55,0,1
22,21,-12,10,-1,-1,-0.0212,-0.0544,0.1787,0.188,0.2056,0.2287,-0.8738,1.3519,55,0,1
23,22,22,10,-1,-1,0.051,0.0491,0.0248,0.075,0.2056,0.2287,-0.8738,1.3519,55,0,1
24,23,323,19,25,26,-0.386,-0.099,0.3437,1.0138,0.2056,0.2287,-0.8738,1.3519,55,0,1
25,24,-211,19,-1,-1,-0.1735,0.2882,0.0289,0.3653,0.2056,0.2287,-0.8738,1.3519,55,0,1
26,25,321,23,52,53,-0.2949,-0.0505,0.5142,0.773,0.2056,0.2287,-0.8738,1.3519,55,0,1
27,26,111,23,27,28,-0.0912,-0.0485,-0.1705,0.2407,0.2056,0.2287,-0.8738,1.3519,55,0,1
28,27,22,26,-1,-1,-0.0109,-0.0775,-0.1146,0.1387,0.2056,0.2287,-0.8738,1.3519,55,0,1
29,28,22,26,-1,-1,-0.0802,0.0289,-0.0559,0.102,0.2056,0.2287,-0.8738,1.3519,55,0,1
30,29,310,11,54,55,-0.0436,-0.278,0.2599,0.628,0.3306,0.0936,-1.0315,0.5644,55,0,1
31,30,211,12,56,57,0.2278,0.3669,-0.0052,0.4539,0.3306,0.0936,-1.0315,0.5644,55,0,1
32,31,-211,12,-1,-1,-0.1426,-0.2161,0.0181,0.2947,0.3306,0.0936,-1.0315,0.5644,55,0,1
33,0,300553,-1,1,2,0.1759,0,4.4934,11.4926,0.2974,0.0747,-6.1517,-1.0177,55,0,2
34,1,521,0,3,4,0.363,-0.1381,2.2751,5.7616,0.2974,0.0747,-6.1517,-1.0177,55,0,2
35,2,-521,0,9,12,-0.1872,0.1381,2.2184,5.731,0.2974,0.0747,-6.1517,-1.0177,55,0,2
36,3,333,1,5,6,1.0962,-2.1831,1.583,3.086,0.3279,0.0631,-5.9607,-0.5341,55,0,2
